OfficeID,Office,Address,City,ST,State,Zip,MainPhone,Fax,Tollfree,contact,Email,GoogleMyBusinessPlace,Latitude,Longitude
64,"Chicago, IL (N. Wells)","445 North Wells Street, Suite 203",Chicago,IL,Illinois,60654-4582,312.527.9690 ext 0,,,,lredeker,https://goo.gl/maps/jErLno1PjVD2,41.890572,-87.6338014
68,"Columbus, OH","1370 Dublin Road, Suite 250",Columbus,OH,Ohio,43215,,,,,,,39.982384,-83.0653824
69,"Edison, NJ","3910 Park Avenue, Suite 5",Edison,NJ,New Jersey,"08820",844.235.6963,732.603.1476,,,tdesai,https://goo.gl/maps/EgfjvYVX7vB2,40.5610956,-74.3832016
72,"Las Vegas, NV","9017 South Pecos Road, Suite 4430",Henderson,NV,Nevada,89074,702.534.3476,,,,cstone,https://goo.gl/maps/oWrGPUP8Ur32,36.0256808,-115.1022454
75,"Maspeth, NY",58-30 64th Street,Maspeth,NY,New York,11378,718.964.9023,,,,bott,https://goo.gl/maps/JrPa29e9Z1nXLHm66,40.7202129,-73.903357
78,"Portland, OR","12655 SW Center Street, Suite 250",Beaverton,OR,Oregon,97005,503.860.7491,,,,ESCObusiness,,45.4939867,-122.8066295
80,"Lawrence, KS","900 Massachusetts Street, Suite 301",Lawrence,KS,Kansas,66044,785.856.3360,785.816.4755,,,smcvey,https://goo.gl/maps/ZuXVDSRFw542,38.967166,-95.2355587
81,"Denver, CO","26 W. Dry Creek Circle, Suite 710",Littleton,CO,Colorado,80120,303.346.8975,720.263.4540,,,sstrom,https://goo.gl/maps/aYdaKrGoitT2,39.5803637,-104.9911476
85,"Salt Lake City, UT","3060 W. California Avenue, Suite C",Salt Lake City,UT,Utah,84101,385.212.2630,,,,chelmers,,40.7409768,-111.9642659
88,"Pelham, NY","629 Fifth Avenue, Building 3 Suite 111",Pelham,NY,New York,10803,914.633.6490,914.633.6951,,,mmcdonnell,https://goo.gl/maps/g3rEV8Ntzno,40.9208943,-73.8050998
89,"Kingston, NY",38 Maiden Lane,Kingston,NY,New York,12401,845.259.2211,888.265.8522,,,mmcdonnell,https://goo.gl/maps/1MzLpgtk7DA2,41.931765,-74.01433
91,"Lincoln, NE","233 13th Street, Suite 1100",Lincoln,NE,Nebraska,68508,785.580.3014,,,,driat,,40.8116088,-96.7030504
93,"Plano, TX","5500 Democracy Drive, Suite 100 + 130",Plano,TX,Texas,75024,214.473.5151,,,,aduttagupta,https://goo.gl/maps/Pr2hsUJgQTT2,33.0679406,-96.81492
94,"Milford, CT","185 Plains Road, Suite 206-W",Milford,CT,Connecticut,"06461",203.951.0067,,,,kgraveline,,41.2256812,-73.0795573
95,"Tucson, AZ","177 North Church Road, Suite 705",Tucson,AZ,Arizona,85701,,,,,sbacs,,32.223954,-110.973406
96,"Germantown, MD",13226 Executive Park Terrace,Germantown,MD,Maryland,20874,301.355.0955,646.940.8894,,,amccornack,https://goo.gl/maps/FG7dNLBRVWp,39.180167,-77.274343
97,"Newport, KY","300 Dave Cowens Drive, Suite 1010",Newport,KY,Kentucky,41071,513.762.7621,,,,tdevries,,39.0968786,-84.4934295
98,Los Angeles (Energy),"1115 W. Sunset Blvd, Suite 805",Los Angeles,CA,California,90012,213.935.8352,,,LA - Energy,jbabcock,,34.0667292,-118.2490533
99,"San Francisco, CA","201 Mission Street, Suite 2000",San Francisco,CA,California,94105,415.896.0300,415.896.1900,,,jbabcock,https://goo.gl/maps/RjHuTqxaoRD2,37.7909664,-122.394737
103,"Kansas City, MO","2300 Main Street, 9th Floor",Kansas City,MO,Missouri,64108,,,,,abarnds,,39.0858281,-94.5852559
106,"Newark, NJ","4 Gateway Center, 4th Floor, 100 Mulberry St.",Newark,NJ,New Jersey,"07102",,,,,info,,40.7353694,-74.1682604
108,"Buffalo, NY",250 Perry Street,Buffalo,NY,New York,14204,,,,,info,,42.8755565,-78.8678841
109,"Beacon, NY","123 Rombout Ave., 2nd Floor",Beacon,NY,New York,12508,,,,,info,,41.5036429,-73.9755113
112,"Huntersville, NC","16810 Kenton Drive, Suite 240",Huntersville,NC,North Carolina,28078,,,,,info,,35.4447669,-80.8900498
115,"Dallas, TX",P.O.Box 195869,Dallas,TX,Texas,75219,,,,,info,,32.8122051,-96.8109852
116,"Rialto, CA",145 N. Riverside,Rialto,CA,California,92376,,,,,info,,34.1022569,-117.3699618
128,"Chicago, IL",4147 N. Ravenswood Ave.,Chicago,IL,Illinois,60613,877.938.1588,,,,info,,41.9574585,-87.6734688
130,"Des Moines, IA",10858 Meredith Drive,Urbandale,IA,Iowa,50322,877.938.1588,,,,info,https://goo.gl/maps/osfBEoSfuMN2,41.6437971,-93.7639777
131,"Indianapolis, IN","350 Massachusetts Ave., Suite 300",Indianapolis,IN,Indiana,46204,877.938.1588,,,,info,,39.7724063,-86.1531092
132,"Madison, WI","613 Williamson St., Suite 208",Madison,WI,Wisconsin,53703,877.938.1588,,,,info,,43.0760068,-89.3748996
133,"Minnetonka, MN","5800 Baker Rd., Suite 100",Minnetonka,MN,Minnesota,55345,877.938.1588,,,,info,https://goo.gl/maps/DPdfZ6MGC3o,44.896742,-93.450289
135,"Charlotte, NC","Serendipity Labs 5th floor Suite 512/513, 1213 West Morehead Street",Charlotte,NC,North Carolina,28208,877.938.1588,,,,info,https://goo.gl/maps/x4gGWf7viFz1X9Yp7,35.228838,-80.8638337
136,"Raleigh, NC","1101 Haynes Street, Suite 108",Raleigh,NC,North Carolina,27604,877.938.1588,,,,info,,35.795132,-78.637747
137,"Boston, MA",100 Cambridge Street,Boston,MA,Massachusetts,"02114",,,,Boston (microgrids),info,,42.361062,-71.062209
138,"Carlsbad, CA","2701 Loker Ave. West, Suite 107",Carlsbad,CA,California,92010,760.931.2400,760.931.2405,,,info,,33.1316067,-117.2605561
140,"San Francisco, CA","44 Montgomery Street, Suite 1500",San Francisco,CA,California,94104,415.391.5100,415.391.6500,,,,,37.7897312,-122.4040947
141,"Cambridge, MA","One Broadway, 14th Floor",Cambridge,MA,Massachusetts,"02142",717.401.3162,,,,,,42.3627092,-71.0838555
142,"New York, NY","33 Irving Place, 9th Floor",New York,NY,New York,10003,646.699.3773,,,,,,40.735083,-73.990387
